for key = 1	XOYUZZU GR VGXSOMOGTU

for key = 2	WNXTYYT FQ UFWRNLNFST

for key = 3	VMWSXXS EP TEVQMKMERS

for key = 4	ULVRWWR DO SDUPLJLDQR

for key = 5	TKUQVVQ CN RCTOKIKCPQ

for key = 6	SJTPUUP BM QBSNJHJBOP

for key = 7	RISOTTO AL PARMIGIANO

for key = 8	QHRNSSN ZK OZQLHFHZMN

for key = 9	PGQMRRM YJ NYPKGEGYLM

for key = 10	OFPLQQL XI MXOJFDFXKL

for key = 11	NEOKPPK WH LWNIECEWJK

for key = 12	MDNJOOJ VG KVMHDBDVIJ

for key = 13	LCMINNI UF JULGCACUHI

for key = 14	KBLHMMH TE ITKFBZBTGH

for key = 15	JAKGLLG SD HSJEAYASFG

for key = 16	IZJFKKF RC GRIDZXZREF

for key = 17	HYIEJJE QB FQHCYWYQDE

for key = 18	GXHDIID PA EPGBXVXPCD

for key = 19	FWGCHHC OZ DOFAWUWOBC

for key = 20	EVFBGGB NY CNEZVTVNAB

for key = 21	DUEAFFA MX BMDYUSUMZA

for key = 22	CTDZEEZ LW ALCXTRTLYZ

for key = 23	BSCYDDY KV ZKBWSQSKXY

for key = 24	ARBXCCX JU YJAVRPRJWX

for key = 25	ZQAWBBW IT XIZUQOQIVW

